entity, label, occurrences
John Oxford, PERSON, 2
Marco Arturo, PERSON, 2
Thomson Reuters Foundation, ORG, 2
A decade, DATE, 2
the age of, DATE, 2
Guillain-Barré, LOC, 2
Eric Hoskins, PERSON, 2
NPR There's, ORG, 2
2014, DATE, 2
more than 60 percent, PERCENT, 2
Trump’s, ORG, 2
five days, DATE, 2
Sami, PERSON, 2
Democrat, NORP, 2
22-year, DATE, 2
Vancouver Island, LOC, 2
120k, MONEY, 2
Judith Light, PERSON, 2
Jenny McCarthy, PERSON, 2
Ottawa, ORG, 2
Yahoo News, ORG, 2
Eddie Morra, PERSON, 2
FBI, ORG, 2
Piper (Georgina Haig, ORG, 2
Morra’s, ORG, 2
Rebecca, PERSON, 2
Morra, PERSON, 2
Limitless, ORG, 2
Tuesday, March 15th at 10/9c, DATE, 2
SA Health, ORG, 2
The World Health Organization's, ORG, 2
Donald Trump’s, PERSON, 2
Queenstown, GPE, 2
two years, DATE, 2
2-Year-Old, DATE, 2
more than a year, DATE, 2
McGregor, PERSON, 2
Tim Friede, PERSON, 2
A few weeks ago, DATE, 1
Camer, GPE, 1
$US38 million, MONEY, 1
$A51.65 million, MONEY, 1
Melinda Gates Foundation, ORG, 1
NPR Some, ORG, 1
43, DATE, 1
Carolin, GPE, 1
30, DATE, 1
after-hours, TIME, 1
Guardian Drug, ORG, 1
10-year, DATE, 1
CBS News Health, ORG, 1
last night, TIME, 1
Vaccine for Zika Virus, ORG, 1
Disease Experts Warn -, ORG, 1
years later, DATE, 1
the U.S. Department of Health and Human Services, ORG, 1
The Star Vaccine, WORK_OF_ART, 1
A light 10 billion, QUANTITY, 1
William Broadway, PERSON, 1
The New York Times Welcome, ORG, 1
FLU, ORG, 1
28,000, CARDINAL, 1
just a third, CARDINAL, 1
next year, DATE, 1
winter season, DATE, 1
11-year-olds - Chicago Tribune Nine years, DATE, 1
69, CARDINAL, 1
Some 25,000, CARDINAL, 1
election 2016, DATE, 1
2000, DATE, 1
Nasa, PERSON, 1
Moncef Slaoui, PERSON, 1
GSK&rsquo;s, ORG, 1
Science &, ORG, 1
400 million, CARDINAL, 1
annually, DATE, 1
Super Junior, ORG, 1
Finian, PERSON, 1
Factcheck, PERSON, 1
Sudden, GPE, 1
