,Brand,Vader
969,Biontech,0.7351
970,Pfizer,0.7351
971,AstraZeneca,0.0516
972,AstraZeneca,-0.0351
973,AstraZeneca,-0.068
974,Pfizer,0.6597
975,Pfizer,0.6124
976,Moderna,0.5574
977,Moderna,0.9098
978,Biontech,0.6369
979,Pfizer,0.6369
980,Pfizer,-0.2263
981,Moderna,-0.2263
982,AstraZeneca,0.4019
983,Biontech,-0.7003
984,Pfizer,-0.7003
985,Sputnik V,0.4939
986,Moderna,0.5574
987,Pfizer,-0.7096
988,Pfizer,0.2648
989,AstraZeneca,0.228
990,AstraZeneca,0.5267
991,Moderna,-0.296
992,AstraZeneca,-0.4939
993,Pfizer,0.2732
994,Moderna,0.2732
995,Johnson & Johnson,-0.3182
996,Pfizer,0.8765
997,AstraZeneca,0.4767
998,Pfizer,0.5594
999,Sputnik V,-0.6249
1000,AstraZeneca,-0.2023
1001,AstraZeneca,0.296
1002,Pfizer,0.296
1003,Biontech,0.9676
1004,Pfizer,0.9676
1005,Moderna,0.9676
1006,AstraZeneca,-0.7096
1007,Pfizer,0.3392
1008,Pfizer,0.7184
1009,Pfizer,0.0
1010,Pfizer,0.4215
1011,Pfizer,0.4404
1012,Moderna,0.4404
1013,Johnson & Johnson,0.4404
1014,Pfizer,0.8658
1015,Moderna,0.0
1016,Pfizer,0.4019
1017,Moderna,0.4019
1018,AstraZeneca,-0.5267
1019,AstraZeneca,-0.3182
1020,Johnson & Johnson,0.0
1021,AstraZeneca,0.4939
1022,Moderna,-0.9678
1023,AstraZeneca,-0.7783
